id,label
2562,0.999924
11848,0.000001
2864,0.999946
1441,0.000004
11107,0.999547
7320,0.000013
8756,0.999737
9239,0.000198
6797,0.999938
10435,0.000150
6148,0.999939
2051,0.011295
10711,0.030715
4990,0.000074
5880,0.999943
10597,0.000002
1111,0.000043
5563,0.000265
4734,0.999941
6199,0.999950
8874,0.004885
2184,0.999945
1436,0.999946
10542,0.999613
7439,0.999948
2546,0.999950
6183,0.999931
2166,0.106899
6356,0.999941
9463,0.001133
4509,0.004964
12231,0.792261
8257,0.001069
10181,0.999949
4983,0.043484
6077,0.053169
6656,0.053193
8635,0.999940
6468,0.999943
145,0.002737
7253,0.043376
7287,0.018362
12496,0.000000
12283,0.000016
6059,0.000000
5980,0.007749
4617,0.999895
2684,0.999947
8120,0.014017
7071,0.000001
1912,0.999947
8424,0.999949
11330,0.000040
11342,0.000005
6812,0.000004
8273,0.000002
10730,0.999943
8290,0.000002
2981,0.999946
1313,0.000011
672,0.001206
1765,0.000809
11576,0.999948
2292,0.000000
7664,0.999942
8224,0.999945
7589,0.999950
11774,0.999614
6933,0.000001
3825,0.001085
2713,0.999921
10335,0.999944
10898,0.999943
388,0.000458
1256,0.000257
406,0.999914
5729,0.000001
1152,0.000969
11217,0.999941
6013,0.000000
2637,0.001964
8866,0.000002
408,0.060121
3223,0.999942
5330,0.004964
7708,0.000394
9666,0.000034
774,0.841760
3376,0.014571
7824,0.000008
1593,0.948602
670,0.999947
2639,0.000033
5876,0.001579
2377,0.000000
6698,0.000743
6633,0.000704
12358,0.000003
9299,0.025972
491,0.999943
5631,0.999948
5653,0.999931
9157,0.484624
9271,0.151540
8510,0.999810
8938,0.999933
1517,0.000891
7954,0.000001
4133,0.000030
716,0.975568
3781,0.057664
531,0.999931
3237,0.999946
7551,0.999950
6348,0.999944
9207,0.999945
1732,0.999945
7985,0.999928
7876,0.999938
668,0.999923
5748,0.999898
12276,0.000024
11365,0.014744
7418,0.017902
8060,0.989982
10873,0.002875
5357,0.999941
1584,0.001575
9601,0.022289
5219,0.002304
2066,0.000000
4004,0.018161
1901,0.000004
6328,0.085774
10156,0.184548
9268,0.032853
4183,0.000209
34,0.009059
4214,0.000004
2894,0.999941
1651,0.000034
2734,0.023946
482,0.999947
2895,0.999943
3194,0.000072
6921,0.000009
4772,0.999946
941,0.000163
2820,0.999942
2935,0.000185
8748,0.000002
4323,0.179873
8548,0.999939
3461,0.000015
11175,0.999947
4584,0.000001
5336,0.998721
9094,0.000011
11786,0.000002
8623,0.930817
4914,0.000004
2239,0.000010
4850,0.999932
10086,0.999943
12134,0.934030
4317,0.999940
8457,0.999940
7699,0.040177
1090,0.000030
6090,0.999943
11982,0.999944
3922,0.999935
6719,0.131498
6388,0.999945
3737,0.023842
9254,0.999917
8118,0.999953
8599,0.000725
4215,0.999935
4774,0.999913
8244,0.000007
3289,0.000029
10380,0.999944
9844,0.999946
7868,0.003150
11836,0.999945
9446,0.000008
688,0.999942
9080,0.999924
11451,0.999943
5618,0.999945
9724,0.053148
11162,0.000002
7121,0.999945
1070,0.999943
12003,0.006211
10146,0.999946
6664,0.999920
9281,0.999944
2674,0.000960
2430,0.999872
5828,0.999933
3921,0.999944
9509,0.999894
5689,0.999942
9544,0.999948
5645,0.000842
1163,0.251927
3161,0.000159
11640,0.999945
9123,0.001316
8337,0.999941
3800,0.999719
6778,0.000690
2832,0.999493
8084,0.955955
9140,0.999945
8261,0.000001
2501,0.000002
4240,0.999918
7653,0.999923
10032,0.929792
6227,0.000059
6334,0.833131
10201,0.000018
12057,0.999950
12098,0.999944
2732,0.999941
4804,0.914698
7401,0.000110
8213,0.999944
696,0.000173
9948,0.000020
1580,0.999951
3006,0.999925
1604,0.000232
4140,0.000199
